enormously,tremendously,tremendously,correct
provisions,stipulations,provision,guess
haphazardly,randomly,clumsily,guess
prominent,conspicuous,influential,guess
zenith,pinnacle,pinnacle,correct
flawed,imperfect,fundamentally,guess
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,introduction,guess
concisely,succinctly,succinctly,correct
salutes,greetings,salute,guess
solitary,alone,confinement,guess
hasten,accelerate,accelerate,correct
perseverance,endurance,tenacity,guess
fanciful,imaginative,imaginative,correct
showed,demonstrated,showing,guess
constantly,continually,continually,correct
issues,subjects,issue,guess
furnish,supply,furnished,guess
costly,expensive,expensive,correct
recognized,acknowledged,recognised,guess
spot,location,spots,guess
make,earn,making,guess
often,frequently,frequently,correct
easygoing,relaxed,affable,guess
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,arrange,guess
infinite,limitless,limitless,correct
showy,striking,flashy,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,guess
discrepancies,differences,differences,correct
prolific,productive,well-known,guess
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,thien,guess
hind,rear,legs,guess
highlight,accentuate,highlights,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,climates,guess
grin,smile,smile,correct
verbally,orally,assaulted,guess
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,guess
situated,positioned,located,guess
principal,major,main,guess
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,task,guess
unlikely,improbable,likely,guess
halfheartedly,apathetically,cursorily,guess
annals,chronicles,tigernach,guess
wildly,furiously,hugely,guess
hailed,acclaimed,lauded,guess
command,mastery,commander,guess
concocted,devised,concocting,guess
prospective,potential,potential,correct
generally,broadly,usually,guess
sustained,prolonged,sustaining,guess
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,dissipates,guess
primarily,chiefly,chiefly,correct
colloquial,conversational,slang,guess
resolved,settled,resolve,guess
feasible,possible,viable,guess
expeditiously,rapidly,speedily,guess
percentage,proportion,proportion,correct
terminated,ended,terminate,guess
uniform,alike,uniforms,guess
figure,solve,figures,guess
sufficient,enough,enough,correct
fashion,manner,designers,guess
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
